,title,link,view,uploader,upload time
74,蔡徐坤打球失败鬼畜,//www.bilibili.com/video/BV1Gb411u7Mv?from=search&seid=1448762815412031760,"
        1274
      ",拔刀仲裁,"
        2019-04-07
      "
75,【徐珺大哥】美少女UP在球场公然模仿蔡徐坤打球,//www.bilibili.com/video/BV1Yb41147rp?from=search&seid=1448762815412031760,"
        102.3万
      ",徐珺大哥,"
        2019-03-24
      "
76,某up模仿蔡徐坤打球?相似度99%!?,//www.bilibili.com/video/BV1tb411g73q?from=search&seid=1448762815412031760,"
        3445
      ",五栖啊,"
        2019-04-04
      "
77,当威尔逊模仿蔡徐坤打球,//www.bilibili.com/video/BV1ob411K7ak?from=search&seid=1448762815412031760,"
        6314
      ",川小胖,"
        2019-04-13
      "
78,【迫害同学向】在？看看湖北蔡徐坤打球？,//www.bilibili.com/video/BV1mb411p7vX?from=search&seid=1448762815412031760,"
        157
      ",Boring不无聊,"
        2019-04-02
      "
79,蔡徐坤打球其实很强（比如边跳舞边打篮球）,//www.bilibili.com/video/BV1Wb41147G3?from=search&seid=1448762815412031760,"
        1147
      ",这波是真躺赢了,"
        2019-03-25
      "
80,抖音的方式看蔡徐坤打球。,//www.bilibili.com/video/BV1Ub411T7X3?from=search&seid=213979695254497172,"
        537
      ",咚凌,"
        2019-04-09
      "
81,为什么权娜拉打人的时候有点像蔡徐坤打球,//www.bilibili.com/video/BV1Jg4y1a7wG?from=search&seid=213979695254497172,"
        6.1万
      ",道上吃西瓜,"
        2020-03-30
      "
82,【你说我画】40W粉丝安排画老婆丙肖像+蔡徐坤打球+清明上河图+……,//www.bilibili.com/video/BV1SJ411P7mP?from=search&seid=213979695254497172,"
        16.4万
      ",十分绘画,"
        2019-09-13
      "
83,"外国小哥模仿蔡徐坤打球,天秀!",//www.bilibili.com/video/BV17b411K75C?from=search&seid=213979695254497172,"
        6519
      ",微胖委员会,"
        2019-04-12
      "
84,如果将蔡徐坤打球以N倍速度播放,//www.bilibili.com/video/BV1gb411j7KU?from=search&seid=213979695254497172,"
        1931
      ",好名字能中奖,"
        2019-04-15
      "
